,2.1_KC951854.1,2.1_MH381810.1,2.1_MN072620.1,2.1_MN072621.1,2.1_MW020570.1,2.1_PV167794.1,2.2_AY077835.1,2.2_AY077836.1,2.2_KX576657.1,2.2_MN072622.1,2.2_NC_004003.1,2.3_MN072623.1,2.3_MN072624.1,2.3_MN072625.1
2.1_KC951854.1,,100.0,99.9,100.0,99.9,99.4,98.3,98.3,98.3,98.2,98.3,97.6,97.5,97.6
2.1_MH381810.1,100.0,,99.9,100.0,99.9,99.4,98.3,98.3,98.3,98.2,98.3,97.6,97.5,97.6
2.1_MN072620.1,99.9,99.9,,99.9,100.0,99.4,98.4,98.4,98.4,98.4,98.4,97.6,97.6,97.6
2.1_MN072621.1,100.0,100.0,99.9,,99.9,99.4,98.3,98.3,98.3,98.2,98.3,97.6,97.5,97.6
2.1_MW020570.1,99.9,99.9,100.0,99.9,,99.4,98.4,98.4,98.4,98.4,98.4,97.6,97.6,97.6
2.1_PV167794.1,99.4,99.4,99.4,99.4,99.4,,98.7,98.7,98.7,98.6,98.7,97.3,97.4,97.3
2.2_AY077835.1,98.3,98.3,98.4,98.3,98.4,98.7,,100.0,100.0,99.8,100.0,97.1,97.2,97.1
2.2_AY077836.1,98.3,98.3,98.4,98.3,98.4,98.7,100.0,,100.0,99.8,100.0,97.1,97.2,97.1
2.2_KX576657.1,98.3,98.3,98.4,98.3,98.4,98.7,100.0,100.0,,99.8,100.0,97.1,97.2,97.1
2.2_MN072622.1,98.2,98.2,98.4,98.2,98.4,98.6,99.8,99.8,99.8,,99.8,97.0,97.2,97.0
2.2_NC_004003.1,98.3,98.3,98.4,98.3,98.4,98.7,100.0,100.0,100.0,99.8,,97.1,97.2,97.1
2.3_MN072623.1,97.6,97.6,97.6,97.6,97.6,97.3,97.1,97.1,97.1,97.0,97.1,,99.6,99.7
2.3_MN072624.1,97.5,97.5,97.6,97.5,97.6,97.4,97.2,97.2,97.2,97.2,97.2,99.6,,99.5
2.3_MN072625.1,97.6,97.6,97.6,97.6,97.6,97.3,97.1,97.1,97.1,97.0,97.1,99.7,99.5,
