MN072626.1	NC_004002.1	99.699	94810	94	34	14799	109428	15187	109985	0.0	1.733e+05
MN072626.1	NC_004002.1	98.197	15032	26	25	120841	135634	121664	136688	0.0	26031
MN072626.1	NC_004002.1	99.174	11620	21	15	109295	120850	109981	121589	0.0	20857
MN072626.1	NC_004002.1	98.915	11249	16	12	135615	146762	136739	147982	0.0	20000
MN072626.1	NC_004002.1	98.819	9230	26	20	5644	14800	6016	15235	0.0	16364
MN072626.1	NC_004002.1	96.629	3975	12	10	1823	5677	1974	5946	0.0	6486
MN072626.1	NC_004002.1	91.653	1186	1	8	193	1280	76	1261	0.0	1552
MN072626.1	NC_004002.1	91.653	1186	1	8	147305	148392	1261	76	0.0	1552
MN072626.1	NC_004002.1	91.653	1186	1	8	147305	148392	148695	149880	0.0	1552
MN072626.1	NC_004002.1	91.653	1186	1	8	193	1280	149880	148695	0.0	1552
MN072626.1	NC_004002.1	85.737	631	0	6	1270	1810	1285	1915	2.22e-166	584
MN072626.1	NC_004002.1	85.737	631	0	6	146775	147315	1915	1285	2.22e-166	584
MN072626.1	NC_004002.1	85.737	631	0	6	146775	147315	148041	148671	2.22e-166	584
MN072626.1	NC_004002.1	85.737	631	0	6	1270	1810	148671	148041	2.22e-166	584
MN072626.1	NC_004002.1	98.387	248	0	2	1823	2067	147982	147736	8.52e-121	433
MN072626.1	NC_004002.1	97.976	247	2	1	146519	146762	2220	1974	1.43e-118	425
MN072626.1	NC_004002.1	97.403	77	0	1	201	275	1	77	1.25e-29	130
MN072626.1	NC_004002.1	97.403	77	0	1	148310	148384	77	1	1.25e-29	130
MN072626.1	NC_004002.1	97.403	77	0	1	148310	148384	149879	149955	1.25e-29	130
MN072626.1	NC_004002.1	97.403	77	0	1	201	275	149955	149879	1.25e-29	130
